user_a,user_b,log_retweet
Sierra4AZ,espinozadiego19,0.6931471805599453
billg,JoeBiden,0.6931471805599453
JoeBiden,CaptMarkKelly,0.6931471805599453
JoeBiden,SenContreras,0.6931471805599453
JoeBiden,espinozadiego19,0.6931471805599453
billg,CaptMarkKelly,0.6931471805599453
CaptMarkKelly,SenContreras,0.6931471805599453
CaptMarkKelly,espinozadiego19,0.6931471805599453
billg,SenContreras,0.6931471805599453
SenContreras,espinozadiego19,0.6931471805599453
billg,espinozadiego19,0.6931471805599453
billg,kjzzphoenix,1.9459101490553132
billg,AllisterAdel,1.9459101490553132
AllisterAdel,billgatesaz,1.9459101490553132
billg,billgatesaz,1.9459101490553132
billg,GrantWoods,1.3862943611198906
billg,YouTube,1.791759469228055
billg,LogCabinGOP,1.3862943611198906
billg,ASUCollegeGOP,1.0986122886681098
billg,maricopacounty,0.6931471805599453
maricopacounty,AZ_iDP,0.6931471805599453
maricopacounty,dominicpapa,0.6931471805599453
billg,AZ_iDP,0.6931471805599453
AZ_iDP,dominicpapa,0.6931471805599453
billg,dominicpapa,0.6931471805599453
billg,Sierra4AZ,0.0
Sierra4AZ,PhoenixParks,0.0
billg,PhoenixParks,0.0
billg,Amanda_Reeve,0.6931471805599453
billg,AllisterAdel,2.3978952727983707
AllisterAdel,marcoattorney,2.3978952727983707
AllisterAdel,maricopacounty,2.3978952727983707
billg,marcoattorney,2.3978952727983707
marcoattorney,maricopacounty,2.3978952727983707
billg,maricopacounty,2.3978952727983707
billg,ASUCollegeGOP,1.0986122886681098
billg,csdsocial,1.0986122886681098
csdsocial,Steve_Gallardo,1.0986122886681098
billg,Steve_Gallardo,1.0986122886681098
billg,HeroZonaOrg,1.0986122886681098
HeroZonaOrg,maricopacounty,1.0986122886681098
HeroZonaOrg,AllisterAdel,1.0986122886681098
HeroZonaOrg,AZCourts,1.0986122886681098
HeroZonaOrg,courtpio,1.0986122886681098
billg,maricopacounty,1.0986122886681098
maricopacounty,AllisterAdel,1.0986122886681098
maricopacounty,AZCourts,1.0986122886681098
maricopacounty,courtpio,1.0986122886681098
billg,AllisterAdel,1.0986122886681098
AllisterAdel,AZCourts,1.0986122886681098
AllisterAdel,courtpio,1.0986122886681098
billg,AZCourts,1.0986122886681098
AZCourts,courtpio,1.0986122886681098
billg,courtpio,1.0986122886681098
billg,Sierra4AZ,0.0
billg,AZGOPLD28,3.1780538303479458
billg,manopeople,0.6931471805599453
billg,maricopacounty,1.3862943611198906
maricopacounty,MadisonAZ,1.3862943611198906
maricopacounty,DVUSD,1.3862943611198906
maricopacounty,pvschools,1.3862943611198906
billg,MadisonAZ,1.3862943611198906
MadisonAZ,DVUSD,1.3862943611198906
MadisonAZ,pvschools,1.3862943611198906
billg,DVUSD,1.3862943611198906
DVUSD,pvschools,1.3862943611198906
billg,pvschools,1.3862943611198906
billg,NewRiverWildcat,1.6094379124341003
NewRiverWildcat,DVUSD,1.6094379124341003
billg,DVUSD,1.6094379124341003
billg,anthemAZcouncil,0.6931471805599453
billg,maricopacounty,1.3862943611198906
maricopacounty,HeroZonaOrg,1.3862943611198906
billg,HeroZonaOrg,1.3862943611198906
billg,CordermanJill,0.0
billg,billgatesaz,0.0
billgatesaz,MikePNoble,0.0
billg,MikePNoble,0.0
billg,MaricopaVote,2.995732273553991
MaricopaVote,maricopacounty,2.995732273553991
billg,maricopacounty,2.995732273553991
billg,MatthewGress,1.0986122886681098
MatthewGress,maricopacounty,1.0986122886681098
MatthewGress,MadisonAZ,1.0986122886681098
MatthewGress,ValledelSolAZ,1.0986122886681098
billg,maricopacounty,1.0986122886681098
maricopacounty,MadisonAZ,1.0986122886681098
maricopacounty,ValledelSolAZ,1.0986122886681098
billg,MadisonAZ,1.0986122886681098
MadisonAZ,ValledelSolAZ,1.0986122886681098
billg,ValledelSolAZ,1.0986122886681098
billg,AZCardinals,0.0
AZCardinals,DeAndreHopkins,0.0
billg,DeAndreHopkins,0.0
billg,KDx32,0.0
KDx32,AZCardinals,0.0
billg,AZCardinals,0.0
billg,K1,1.0986122886681098
K1,DeAndreHopkins,1.0986122886681098
K1,AZCardinals,1.0986122886681098
billg,DeAndreHopkins,1.0986122886681098
DeAndreHopkins,AZCardinals,1.0986122886681098
billg,AZCardinals,1.0986122886681098
billg,VitalantAZ,1.0986122886681098
billg,PingTour,0.0
billg,ValledelSolAZ,1.0986122886681098
ValledelSolAZ,KateMcGeeAZ,1.0986122886681098
ValledelSolAZ,Maricopahealth,1.0986122886681098
billg,KateMcGeeAZ,1.0986122886681098
KateMcGeeAZ,Maricopahealth,1.0986122886681098
billg,Maricopahealth,1.0986122886681098
billg,DrFinchDVUSD,1.3862943611198906
DrFinchDVUSD,billgatesaz,1.3862943611198906
DrFinchDVUSD,DVUSD,1.3862943611198906
billg,billgatesaz,1.3862943611198906
billgatesaz,DVUSD,1.3862943611198906
billg,DVUSD,1.3862943611198906
billg,AZGOPLD28,1.3862943611198906
AZGOPLD28,KateMcGeeAZ,1.3862943611198906
billg,KateMcGeeAZ,1.3862943611198906
billg,MrXavierAG,0.6931471805599453
MrXavierAG,NHL,0.6931471805599453
MrXavierAG,HeroZonaOrg,0.6931471805599453
MrXavierAG,SunDevilRay23,0.6931471805599453
MrXavierAG,TheSunDevils,0.6931471805599453
MrXavierAG,AZCardinals,0.6931471805599453
MrXavierAG,JasonRowleySuns,0.6931471805599453
MrXavierAG,Suns,0.6931471805599453
MrXavierAG,Dbacks,0.6931471805599453
billg,NHL,0.6931471805599453
NHL,HeroZonaOrg,0.6931471805599453
NHL,SunDevilRay23,0.6931471805599453
NHL,TheSunDevils,0.6931471805599453
NHL,AZCardinals,0.6931471805599453
NHL,JasonRowleySuns,0.6931471805599453
NHL,Suns,0.6931471805599453
NHL,Dbacks,0.6931471805599453
billg,HeroZonaOrg,0.6931471805599453
HeroZonaOrg,SunDevilRay23,0.6931471805599453
HeroZonaOrg,TheSunDevils,0.6931471805599453
HeroZonaOrg,AZCardinals,0.6931471805599453
HeroZonaOrg,JasonRowleySuns,0.6931471805599453
HeroZonaOrg,Suns,0.6931471805599453
HeroZonaOrg,Dbacks,0.6931471805599453
billg,SunDevilRay23,0.6931471805599453
SunDevilRay23,TheSunDevils,0.6931471805599453
SunDevilRay23,AZCardinals,0.6931471805599453
SunDevilRay23,JasonRowleySuns,0.6931471805599453
SunDevilRay23,Suns,0.6931471805599453
SunDevilRay23,Dbacks,0.6931471805599453
billg,TheSunDevils,0.6931471805599453
TheSunDevils,AZCardinals,0.6931471805599453
TheSunDevils,JasonRowleySuns,0.6931471805599453
TheSunDevils,Suns,0.6931471805599453
TheSunDevils,Dbacks,0.6931471805599453
billg,AZCardinals,0.6931471805599453
AZCardinals,JasonRowleySuns,0.6931471805599453
AZCardinals,Suns,0.6931471805599453
AZCardinals,Dbacks,0.6931471805599453
billg,JasonRowleySuns,0.6931471805599453
JasonRowleySuns,Suns,0.6931471805599453
JasonRowleySuns,Dbacks,0.6931471805599453
billg,Suns,0.6931471805599453
Suns,Dbacks,0.6931471805599453
billg,Dbacks,0.6931471805599453
billg,HonorHealth,1.3862943611198906
HonorHealth,maricopacounty,1.3862943611198906
HonorHealth,anthemAZcouncil,1.3862943611198906
HonorHealth,DaisyMtnFire,1.3862943611198906
billg,maricopacounty,1.3862943611198906
maricopacounty,anthemAZcouncil,1.3862943611198906
maricopacounty,DaisyMtnFire,1.3862943611198906
billg,anthemAZcouncil,1.3862943611198906
anthemAZcouncil,DaisyMtnFire,1.3862943611198906
billg,DaisyMtnFire,1.3862943611198906
billg,maricopacounty,0.6931471805599453
maricopacounty,downtownphoenix,0.6931471805599453
billg,downtownphoenix,0.6931471805599453
billg,Suns,0.0
Suns,AZCardinals,0.0
Suns,ArizonaCoyotes,0.0
Suns,Dbacks,0.0
Suns,maricopacounty,0.0
billg,AZCardinals,0.0
AZCardinals,ArizonaCoyotes,0.0
AZCardinals,Dbacks,0.0
AZCardinals,maricopacounty,0.0
billg,ArizonaCoyotes,0.0
ArizonaCoyotes,Dbacks,0.0
ArizonaCoyotes,maricopacounty,0.0
billg,Dbacks,0.0
Dbacks,maricopacounty,0.0
billg,maricopacounty,0.0
billg,maricopacounty,0.6931471805599453
billg,MaricopaVote,2.0794415416798357
MaricopaVote,ArizonaCoyotes,2.0794415416798357
MaricopaVote,GilaRiverArena,2.0794415416798357
billg,ArizonaCoyotes,2.0794415416798357
ArizonaCoyotes,GilaRiverArena,2.0794415416798357
billg,GilaRiverArena,2.0794415416798357
billg,Suns,1.0986122886681098
Suns,maricopacounty,1.0986122886681098
Suns,Suns,1.0986122886681098
Suns,PhoenixMercury,1.0986122886681098
billg,maricopacounty,1.0986122886681098
maricopacounty,Suns,1.0986122886681098
maricopacounty,PhoenixMercury,1.0986122886681098
billg,Suns,1.0986122886681098
Suns,PhoenixMercury,1.0986122886681098
billg,PhoenixMercury,1.0986122886681098
billg,maricopacounty,0.0
maricopacounty,ARIZONAatWORK,0.0
maricopacounty,azcommerce,0.0
billg,ARIZONAatWORK,0.0
ARIZONAatWORK,azcommerce,0.0
billg,azcommerce,0.0
billg,brahmresnik,3.2188758248682006
brahmresnik,Suns,3.2188758248682006
billg,Suns,3.2188758248682006
billg,maricopacounty,1.0986122886681098
billg,MacHughesGolf,0.0
MacHughesGolf,eastlakegc,0.0
billg,eastlakegc,0.0
billg,FloodControlMC,2.0794415416798357
FloodControlMC,azcentral,2.0794415416798357
billg,azcentral,2.0794415416798357
billg,azcentral,1.3862943611198906
billg,Maricopahealth,1.6094379124341003
billg,maricopacounty,1.0986122886681098
billg,US_FDA,0.0
billg,RubenGallego,0.0
billg,NaketaRoss,0.0
NaketaRoss,GovBrewer,0.0
NaketaRoss,AZHope2,0.0
billg,GovBrewer,0.0
GovBrewer,AZHope2,0.0
billg,AZHope2,0.0
billg,maricopacounty,1.3862943611198906
maricopacounty,CircletheCityAZ,1.3862943611198906
billg,CircletheCityAZ,1.3862943611198906
billg,MatthewGress,1.0986122886681098
billg,Maricopahealth,1.9459101490553132
billg,AnthemAreaCC,0.6931471805599453
AnthemAreaCC,maricopacounty,0.6931471805599453
billg,maricopacounty,0.6931471805599453
billg,annwallack,0.0
annwallack,maricopacounty,0.0
annwallack,CPLCdotORG,0.0
billg,maricopacounty,0.0
maricopacounty,CPLCdotORG,0.0
billg,CPLCdotORG,0.0
billg,Maricopahealth,0.0
billg,maricopacounty,0.0
billg,Maricopahealth,1.0986122886681098
Maricopahealth,Garrett_Archer,1.0986122886681098
Maricopahealth,maricopacounty,1.0986122886681098
billg,Garrett_Archer,1.0986122886681098
Garrett_Archer,maricopacounty,1.0986122886681098
billg,maricopacounty,1.0986122886681098
billg,Maricopahealth,0.0
billg,maricopacounty,0.0
billg,Maricopahealth,0.6931471805599453
Maricopahealth,DVUSD,0.6931471805599453
billg,DVUSD,0.6931471805599453
billg,NWSPhoenix,4.919980925828125
billg,NWSPhoenix,4.23410650459726
billg,MaricopaVote,2.833213344056216
MaricopaVote,maricopacounty,2.833213344056216
MaricopaVote,RecorderFontes,2.833213344056216
billg,maricopacounty,2.833213344056216
maricopacounty,RecorderFontes,2.833213344056216
billg,RecorderFontes,2.833213344056216
billg,Adrian_Fontes,1.9459101490553132
Adrian_Fontes,maricopacounty,1.9459101490553132
billg,maricopacounty,1.9459101490553132
billg,maricopacounty,0.0
billg,BrooklynNets,0.0
BrooklynNets,trailblazers,0.0
billg,trailblazers,0.0
billg,Suns,0.0
Suns,maricopacounty,0.0
billg,maricopacounty,0.0
billg,Suns,0.6931471805599453
billg,AnthemAreaCC,0.0
AnthemAreaCC,maricopacounty,0.0
AnthemAreaCC,anthemAZcouncil,0.0
billg,maricopacounty,0.0
maricopacounty,anthemAZcouncil,0.0
billg,anthemAZcouncil,0.0
billg,erfleuncuffed,0.0
erfleuncuffed,Maricopahealth,0.0
erfleuncuffed,maricopacounty,0.0
billg,Maricopahealth,0.0
Maricopahealth,maricopacounty,0.0
billg,maricopacounty,0.0
billg,MarthaMcSally,2.70805020110221
billg,cindymccain,0.0
billg,GilbertAZMayor,0.0
GilbertAZMayor,GilbertYourTown,0.0
GilbertAZMayor,GilbertYourTown,0.0
billg,GilbertYourTown,0.0
GilbertYourTown,GilbertYourTown,0.0
billg,GilbertYourTown,0.0
billg,MatthewGress,0.0
billg,RepublicService,1.9459101490553132
RepublicService,maricopacounty,1.9459101490553132
RepublicService,nikolamotor,1.9459101490553132
RepublicService,azcentral,1.9459101490553132
billg,maricopacounty,1.9459101490553132
maricopacounty,nikolamotor,1.9459101490553132
maricopacounty,azcentral,1.9459101490553132
billg,nikolamotor,1.9459101490553132
nikolamotor,azcentral,1.9459101490553132
billg,azcentral,1.9459101490553132
billg,SecPompeo,7.906915488678587
billg,gregstantonaz,0.6931471805599453
billg,maricopacounty,0.6931471805599453
billg,franakviacorka,0.0
billg,maricopacounty,0.0
maricopacounty,azcentral,0.0
billg,azcentral,0.0
billg,PingTour,0.0
PingTour,Cameron__Champ,0.0
billg,Cameron__Champ,0.0
billg,DebbieLesko,0.6931471805599453
DebbieLesko,maricopacounty,0.6931471805599453
billg,maricopacounty,0.6931471805599453
billg,NWSPhoenix,4.007333185232471
billg,Suns,7.2991214627108
billg,DaisyMtnFire,0.0
DaisyMtnFire,maricopacounty,0.0
billg,maricopacounty,0.0
billg,DrFinchDVUSD,0.6931471805599453
DrFinchDVUSD,DVUSD,0.6931471805599453
billg,DVUSD,0.6931471805599453
billg,PHSGirlsGolf16,0.6931471805599453
PHSGirlsGolf16,maricopacounty,0.6931471805599453
billg,maricopacounty,0.6931471805599453
billg,pvschools,0.0
billg,maricopacounty,1.791759469228055
maricopacounty,RecorderFontes,1.791759469228055
maricopacounty,MaricopaVote,1.791759469228055
billg,RecorderFontes,1.791759469228055
RecorderFontes,MaricopaVote,1.791759469228055
billg,MaricopaVote,1.791759469228055
billg,maricopacounty,0.6931471805599453
billg,DevinBook,0.6931471805599453
DevinBook,Suns,0.6931471805599453
billg,Suns,0.6931471805599453
billg,maricopacounty,0.0
billg,NWSPhoenix,3.4339872044851463
billg,ReyValenzuelaJ1,1.3862943611198906
billg,NWSPhoenix,3.1354942159291497
billg,maricopacounty,1.0986122886681098
billg,MaricopaVote,1.3862943611198906
billg,NWSPhoenix,3.1354942159291497
billg,MaricopaEmerg,0.0
billg,maricopacounty,1.0986122886681098
billg,PGATOUR,3.970291913552122
billg,MSlickGolf,0.0
MSlickGolf,3M,0.0
MSlickGolf,PGATOUR,0.0
MSlickGolf,PingTour,0.0
billg,3M,0.0
3M,PGATOUR,0.0
3M,PingTour,0.0
billg,PGATOUR,0.0
PGATOUR,PingTour,0.0
billg,PingTour,0.0
billg,maricopacounty,1.0986122886681098
billg,MaricopaDems,2.1972245773362196
MaricopaDems,azcentral,2.1972245773362196
billg,azcentral,2.1972245773362196
billg,antoniojanss,0.0
antoniojanss,NWSPhoenix,0.0
antoniojanss,maricopacounty,0.0
antoniojanss,weatherchannel,0.0
billg,NWSPhoenix,0.0
NWSPhoenix,maricopacounty,0.0
NWSPhoenix,weatherchannel,0.0
billg,maricopacounty,0.0
maricopacounty,weatherchannel,0.0
billg,weatherchannel,0.0
billg,NWSPhoenix,0.6931471805599453
NWSPhoenix,maricopacounty,0.6931471805599453
billg,maricopacounty,0.6931471805599453
billg,VIPphx,0.6931471805599453
VIPphx,maricopacounty,0.6931471805599453
billg,maricopacounty,0.6931471805599453
billg,PhoenixConCtr,0.0
billg,maricopacounty,2.3978952727983707
maricopacounty,MaricopaVote,2.3978952727983707
billg,MaricopaVote,2.3978952727983707
billg,ValledelSolAZ,0.0
ValledelSolAZ,maricopacounty,0.0
ValledelSolAZ,Maricopahealth,0.0
billg,maricopacounty,0.0
maricopacounty,Maricopahealth,0.0
billg,Maricopahealth,0.0
billg,DaisyMtnFire,0.0
