tweet_id,tweet_text,date,user_id,user_mentions,retweet_count
1323754864833306624,"RT @william55030695: @billgatesaz @GrantWoods @Steve_Chucri Bravo to Maricopa County, AZ. Voted three weeks ago by mail. Signed up for ball",11/03/2020,56179256,"[{'screen_name': 'william55030695', 'name': 'I’m just a Bill', 'id': 1269130317710802945, 'id_str': '1269130317710802945', 'indices': [3, 19]}, {'screen_name': 'billgatesaz', 'name': 'Bill Gates', 'id': 56179256, 'id_str': '56179256', 'indices': [21, 33]}, {'screen_name': 'GrantWoods', 'name': 'Grant Woods', 'id': 22313006, 'id_str': '22313006', 'indices': [34, 45]}, {'screen_name': 'Steve_Chucri', 'name': 'Steve Chucri', 'id': 382459930, 'id_str': '382459930', 'indices': [46, 59]}]",4
1323713973900881920,"For example, there is currently no line at the Camelback Inn vote center location. Keep checking our website so your Election Day experience is seamless #MaricopaVotes",11/03/2020,56179256,[],1
1323709680414158848,Remember voters you can go to https://t.co/ct61lsGF7T to find a vote center location and wait time that works for you. Currently many of our vote centers show little to no wait. You have options! https://t.co/bfhVe0N0Jg,11/03/2020,56179256,[],5
1323676691814756353,Election Day is TODAY and I am asking for your vote https://t.co/XooNUlLm3E via @YouTube,11/03/2020,56179256,"[{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [80, 88]}]",2
1323667450483806208,@myroundtable @jp_twist @dbseiden @mliburdi @Crystal_923az You did great work @myroundtable! https://t.co/Jvx4vpEjrW,11/03/2020,56179256,"[{'screen_name': 'myroundtable', 'name': 'Tony Bradley', 'id': 106480454, 'id_str': '106480454', 'indices': [0, 13]}, {'screen_name': 'jp_twist', 'name': 'J.P. Twist', 'id': 65183859, 'id_str': '65183859', 'indices': [14, 23]}, {'screen_name': 'dbseiden', 'name': 'Danny Seiden', 'id': 278240853, 'id_str': '278240853', 'indices': [24, 33]}, {'screen_name': 'mliburdi', 'name': 'Mike Liburdi', 'id': 251191524, 'id_str': '251191524', 'indices': [34, 43]}, {'screen_name': 'Crystal_923az', 'name': 'Crystal B.', 'id': 3375686855, 'id_str': '3375686855', 'indices': [44, 58]}, {'screen_name': 'myroundtable', 'name': 'Tony Bradley', 'id': 106480454, 'id_str': '106480454', 'indices': [78, 91]}]",0
1323667272171364353,Definitely an upgrade @myroundtable - thanks for your support! https://t.co/BlzFepFbAS,11/03/2020,56179256,"[{'screen_name': 'myroundtable', 'name': 'Tony Bradley', 'id': 106480454, 'id_str': '106480454', 'indices': [22, 35]}]",1
1323633600223346688,Stopped by the Madison Baptist Church and IBEW Local 640 vote centers and the lines are short! @MaricopaVote https://t.co/HBH6W9ssXH,11/03/2020,56179256,"[{'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [95, 108]}]",4
1323624591852400642,At @shadowrockucc in #moonvalley - just dropped off our ballots - no line. Thank you @MaricopaVote https://t.co/kq8aWBds6n,11/03/2020,56179256,"[{'screen_name': 'shadowrockucc', 'name': 'Shadow Rock UCC', 'id': 118495541, 'id_str': '118495541', 'indices': [3, 17]}, {'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [85, 98]}]",5
1323618303625945091,All locations opened on time this morning! Click below to find the vote center that works best for you. https://t.co/BbG3YmNDEP,11/03/2020,56179256,[],1
1323611239352725506,Great to see voters in @maricopacounty #district3 already up and ready to vote! https://t.co/RirWp3pzEt,11/03/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [23, 38]}]",1
1323599800814641154,"Polls open in less than an hour at 6:00 am.  No matter where you live in @Maricopacounty, you can vote in-person or drop off your ballot at any of over 170 vote centers across the county.  For the closest vote center to you, go to https://t.co/CHB8tROeHc
@MaricopaVote",11/03/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [73, 88]}, {'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [255, 268]}]",2
1323451100129751041,"Great work by the @MaricopaVote team - 32,000 @maricopacounty residents voted in-person today.  Polls open at 6 am tomorrow.",11/03/2020,56179256,"[{'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [18, 31]}, {'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [46, 61]}]",0
1323382245961379845,"Never has addressing the digital divide in our communities been more important than during this pandemic. Im proud of the work @maricopacounty is doing to help our students continue to get quality education whether in-person, hybrid, or online. https://t.co/JNPKD1gLNS",11/02/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [128, 143]}]",3
1323345951830863872,Go @Suns!  Go vote!  @MaricopaVote https://t.co/sSc4DSDB0W,11/02/2020,56179256,"[{'screen_name': 'Suns', 'name': 'Phoenix Suns', 'id': 18481113, 'id_str': '18481113', 'indices': [3, 8]}, {'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [21, 34]}]",0
1323310922337710080,If youre a small business in Maricopa County and have suffered revenue loss due to coronavirus you can apply here https://t.co/FcEVNLDh2W,11/02/2020,56179256,[],0
1323310921259732992,Proud of @maricopacountys Small Business Grant Program. Today we upped funding from $63 to $73 million to meet demand. This tremendous number shows a commitment to meet the needs of small businesses in the county &amp; ensuring stability during uncertain economic times @AZFoundation,11/02/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [9, 24]}, {'screen_name': 'AZFoundation', 'name': 'Arizona Community Foundation', 'id': 41190190, 'id_str': '41190190', 'indices': [271, 284]}]",4
1323006955695165440,Congratulations to the voters of @maricopacounty on this years massive turnout.  You can go to any of the locations below to vote in District 3 on or before Nov. 3 https://t.co/lL1lflCRuC https://t.co/wRsATZH64X,11/01/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [33, 48]}]",4
1322744307632144384,#HappyHalloween #davidspumpkins @MCanimalcare https://t.co/ceypcQwdDZ,11/01/2020,56179256,"[{'screen_name': 'MCanimalcare', 'name': 'MCACC', 'id': 3229038690, 'id_str': '3229038690', 'indices': [32, 45]}]",3
1322637950132236289,Thank you @PhoenixMercury for partnering with @MaricopaVote to give residents across @maricopacounty the opportunity to vote at Veterans Memorial Coliseum @azstatefair https://t.co/E344QK5SEk,10/31/2020,56179256,"[{'screen_name': 'PhoenixMercury', 'name': 'Phoenix Mercury', 'id': 29779226, 'id_str': '29779226', 'indices': [10, 25]}, {'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [46, 59]}, {'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [85, 100]}, {'screen_name': 'azstatefair', 'name': 'Arizona State Fair', 'id': 50103121, 'id_str': '50103121', 'indices': [155, 167]}]",0
1322622293575524352,Thanks @cindycasaus for joining us in #maricopacounty #district3 today - beautiful day to walk &amp; talk to voters! https://t.co/Jb12YxsWf5,10/31/2020,56179256,"[{'screen_name': 'cindycasaus', 'name': 'Cynthia Casaus', 'id': 50929468, 'id_str': '50929468', 'indices': [7, 19]}]",3
1322531483580473344,"If you havent gone out yet, go check out the sunrise this morning in @maricopacounty - this photo doesnt do it justice. https://t.co/pDWMkborR0",10/31/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [70, 85]}]",1
1322319332865499137,There is still time to vote early today and throughout the weekend. Check out any of the sites serving @maricopacounty District 3 below! @MaricopaVote https://t.co/L3Mg9ko1XO,10/30/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [103, 118]}, {'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [137, 150]}]",6
